Time (ms),Name,Value
1,"Climber ","true"
1,"Left Drive setpoint ","390.46611892947203"
1,"Range Finder ","248.77176000000003"
1,"Drive (left) ","80.54381628265381"
1,"Drive ","true"
2,"Tilter ","true"
2,"Tilter angle ","-0.001247406005859375"
2,"DumperJag Current","999.9"
2,"Drive (right) ","78.70668155466714"
2,"Dumper ","true"
2,"Climber position ","0.0"
51777,"Climber ","true"
51778,"Left Drive setpoint ","390.46611892947203"
51779,"Range Finder ","248.77176000000003"
51779,"Drive (left) ","80.54381628265381"
51779,"Drive ","true"
51780,"Tilter ","true"
51780,"Tilter angle ","-0.001247406005859375"
51780,"DumperJag Current","999.9"
51781,"Drive (right) ","78.70668155466714"
51781,"Dumper ","true"
51782,"Climber position ","0.0"
51898,"Climber ","true"
51898,"Tilter ","true"
51898,"Dumper ","true"
51898,"Drive ","true"
51998,"DumperJag Current","0.0"
52100,"Climber position ","21.16870880126953"
52100,"Tilter angle ","-2.8799972534179688"
52100,"Drive (left) ","0.0"
52100,"Drive (right) ","-0.0"
52101,"Range Finder ","Infinity"
52101,"DumperJag Current","0.0"
52200,"DumperJag Current","0.0"
52201,"Climber ","true"
52201,"Tilter ","true"
52201,"Dumper ","true"
52201,"Drive ","true"
52302,"Climber position ","21.16870880126953"
52302,"Tilter angle ","-2.8799972534179688"
52302,"Drive (left) ","0.0"
52302,"Drive (right) ","-0.0"
52302,"Range Finder ","248.81244"
52303,"DumperJag Current","0.0"
52403,"DumperJag Current","0.0"
52403,"Climber ","true"
52403,"Tilter ","true"
52403,"Dumper ","true"
52404,"Drive ","true"
52504,"DumperJag Current","0.0"
52504,"Climber position ","21.16870880126953"
52505,"Tilter angle ","-2.8799972534179688"
52505,"Drive (left) ","0.0"
52505,"Drive (right) ","-0.0"
52505,"Range Finder ","248.73108000000002"
52605,"DumperJag Current","0.0"
52605,"Climber ","true"
52605,"Tilter ","true"
52606,"Dumper ","true"
52606,"Drive ","true"
52707,"DumperJag Current","0.0"
52707,"Climber position ","21.16870880126953"
52707,"Tilter angle ","-2.8799972534179688"
52707,"Drive (left) ","0.0"
52708,"Drive (right) ","-0.0"
52708,"Range Finder ","248.77176000000003"
52807,"DumperJag Current","0.0"
52807,"Climber ","true"
52807,"Tilter ","true"
52807,"Dumper ","true"
52808,"Drive ","true"
52908,"DumperJag Current","0.0"
52908,"Climber position ","21.16870880126953"
52908,"Tilter angle ","-2.8799972534179688"
52908,"Drive (left) ","0.0"
52908,"Drive (right) ","-0.0"
52908,"Range Finder ","248.77176000000003"
53009,"DumperJag Current","0.0"
53009,"Climber ","true"
53009,"Tilter ","true"
53009,"Dumper ","true"
53009,"Drive ","true"
53110,"DumperJag Current","0.0"
53110,"Climber position ","21.16870880126953"
53110,"Tilter angle ","-2.8799972534179688"
53110,"Drive (left) ","0.0"
53212,"Drive (right) ","-0.0"
53212,"Range Finder ","248.73108000000002"
53212,"DumperJag Current","0.0"
53315,"Climber ","true"
53316,"Tilter ","true"
53316,"Dumper ","true"
53316,"Drive ","true"
53316,"DumperJag Current","0.0"
53418,"Climber position ","21.16870880126953"
53418,"Tilter angle ","-2.8799972534179688"
53418,"Drive (left) ","0.0"
53418,"Drive (right) ","-0.0"
53418,"Range Finder ","248.77176000000003"
53418,"DumperJag Current","0.0"
53519,"DumperJag Current","0.0"
53519,"Climber ","true"
53519,"Tilter ","true"
53519,"Dumper ","true"
53519,"Drive ","true"
53621,"DumperJag Current","0.0"
53621,"Climber position ","21.16870880126953"
53621,"Tilter angle ","-2.8799972534179688"
53621,"Drive (left) ","0.0"
53621,"Drive (right) ","-0.0"
53621,"Range Finder ","248.77176000000003"
53722,"DumperJag Current","0.0"
53723,"Climber ","true"
53723,"Tilter ","true"
53723,"Dumper ","true"
53723,"Drive ","true"
53926,"DumperJag Current","0.0"
53927,"Climber position ","21.16870880126953"
53927,"Tilter angle ","-2.8799972534179688"
53927,"Drive (left) ","0.0"
53927,"Drive (right) ","-0.0"
53927,"Range Finder ","248.77176000000003"
53927,"DumperJag Current","0.0"
53927,"Climber ","true"
53927,"Tilter ","true"
53927,"Dumper ","true"
53928,"Drive ","true"
54025,"DumperJag Current","0.0"
54025,"Climber position ","21.16870880126953"
54025,"Tilter angle ","-2.8799972534179688"
54025,"Drive (left) ","0.0"
54025,"Drive (right) ","-0.0"
54025,"Range Finder ","248.77176000000003"
54126,"DumperJag Current","0.0"
54126,"Climber ","true"
54126,"Tilter ","true"
54126,"Dumper ","true"
54126,"Drive ","true"
54227,"DumperJag Current","0.0"
54228,"Climber position ","21.16870880126953"
54228,"Tilter angle ","-2.8799972534179688"
54228,"Drive (left) ","0.0"
54228,"Drive (right) ","-0.0"
54228,"Range Finder ","248.73108000000002"
54328,"DumperJag Current","0.0"
54328,"Climber ","true"
54328,"Tilter ","true"
54328,"Dumper ","true"
54328,"Drive ","true"
54430,"DumperJag Current","0.0"
54430,"Climber position ","21.16870880126953"
54431,"Tilter angle ","-2.8799972534179688"
54431,"Drive (left) ","0.0"
54532,"Drive (right) ","-0.0"
54532,"Range Finder ","248.77176000000003"
54532,"DumperJag Current","0.0"
54633,"Climber ","true"
54634,"Tilter ","true"
54634,"Dumper ","true"
54634,"Drive ","true"
54634,"DumperJag Current","0.0"
54736,"Climber position ","21.16870880126953"
54736,"Tilter angle ","-2.8799972534179688"
54736,"Drive (left) ","0.0"
54736,"Drive (right) ","-0.0"
54736,"Range Finder ","248.77176000000003"
54736,"DumperJag Current","0.0"
54838,"DumperJag Current","0.0"
54838,"Climber ","true"
54838,"Tilter ","true"
54838,"Dumper ","true"
54838,"Drive ","true"
54940,"DumperJag Current","0.0"
54941,"Climber position ","21.16870880126953"
54941,"Tilter angle ","-2.8799972534179688"
54941,"Drive (left) ","0.0"
54941,"Drive (right) ","-0.0"
54941,"Range Finder ","248.77176000000003"
55041,"DumperJag Current","0.0"
55042,"Climber ","true"
55042,"Tilter ","true"
55042,"Dumper ","true"
55042,"Drive ","true"
55143,"DumperJag Current","0.0"
55143,"Climber position ","21.16870880126953"
55143,"Tilter angle ","-2.8799972534179688"
55143,"Drive (left) ","0.0"
55143,"Drive (right) ","-0.0"
55143,"Range Finder ","248.77176000000003"
55244,"DumperJag Current","0.0"
55244,"Climber ","true"
55244,"Tilter ","true"
55244,"Dumper ","true"
55244,"Drive ","true"
55345,"DumperJag Current","0.0"
55345,"Climber position ","21.16870880126953"
55345,"Tilter angle ","-2.8799972534179688"
55345,"Drive (left) ","0.0"
55346,"Drive (right) ","-0.0"
55347,"Range Finder ","248.73108000000002"
55446,"DumperJag Current","0.0"
55446,"Climber ","true"
55446,"Tilter ","true"
55446,"Dumper ","true"
55446,"Drive ","true"
55547,"DumperJag Current","0.0"
55547,"Climber position ","21.16870880126953"
55547,"Tilter angle ","-2.8799972534179688"
55548,"Drive (left) ","0.0"
55548,"Drive (right) ","-0.0"
55548,"Range Finder ","248.69039999999998"
55648,"DumperJag Current","0.0"
55648,"Climber ","true"
55648,"Tilter ","true"
55648,"Dumper ","true"
55648,"Drive ","true"
55749,"DumperJag Current","0.0"
55749,"Climber position ","21.16870880126953"
55749,"Tilter angle ","-2.8799972534179688"
55849,"Drive (left) ","0.0"
55850,"Drive (right) ","-0.0"
55850,"Range Finder ","248.73108000000002"
55850,"DumperJag Current","0.0"
55951,"Climber ","true"
55951,"Tilter ","true"
55951,"Dumper ","true"
55951,"Drive ","true"
55951,"DumperJag Current","0.0"
56052,"Climber position ","21.16870880126953"
56053,"Tilter angle ","-2.8799972534179688"
56053,"Drive (left) ","0.0"
56053,"Drive (right) ","-0.0"
56053,"Range Finder ","248.77176000000003"
56053,"DumperJag Current","0.0"
56155,"DumperJag Current","0.0"
56155,"Climber ","true"
56155,"Tilter ","true"
56155,"Dumper ","true"
56155,"Drive ","true"
56259,"DumperJag Current","0.0"
56259,"Climber position ","21.16870880126953"
56259,"Tilter angle ","-2.8799972534179688"
56260,"Drive (left) ","0.0"
56260,"Drive (right) ","-0.0"
56260,"Range Finder ","248.77176000000003"
56359,"DumperJag Current","0.0"
56360,"Climber ","true"
56360,"Tilter ","true"
56360,"Dumper ","true"
56360,"Drive ","true"
56462,"DumperJag Current","0.0"
56462,"Climber position ","21.16870880126953"
56462,"Tilter angle ","-2.8799972534179688"
56462,"Drive (left) ","0.0"
56463,"Drive (right) ","-0.0"
56463,"Range Finder ","248.77176000000003"
56563,"DumperJag Current","0.0"
56563,"Climber ","true"
56563,"Tilter ","true"
56563,"Dumper ","true"
56563,"Drive ","true"
56664,"DumperJag Current","0.0"
56664,"Climber position ","21.16870880126953"
56664,"Tilter angle ","-2.8799972534179688"
56664,"Drive (left) ","0.0"
56664,"Drive (right) ","-0.0"
56665,"Range Finder ","248.73108000000002"
56766,"DumperJag Current","0.0"
56766,"Climber ","true"
56766,"Tilter ","true"
56766,"Dumper ","true"
56766,"Drive ","true"
56866,"DumperJag Current","0.0"
56866,"Climber position ","21.16870880126953"
56867,"Tilter angle ","-2.8799972534179688"
56867,"Drive (left) ","0.0"
56867,"Drive (right) ","-0.0"
56868,"Range Finder ","248.73108000000002"
56966,"DumperJag Current","0.0"
56967,"Climber ","true"
56967,"Tilter ","true"
56967,"Dumper ","true"
56967,"Drive ","true"
57068,"DumperJag Current","0.0"
57068,"Climber position ","21.16870880126953"
57068,"Tilter angle ","-2.8799972534179688"
57170,"Drive (left) ","0.0"
57170,"Drive (right) ","-0.0"
57170,"Range Finder ","248.77176000000003"
57170,"DumperJag Current","0.0"
57403,"Climber ","true"
57403,"Tilter ","true"
57403,"Dumper ","true"
57403,"Drive ","true"
57403,"DumperJag Current","0.0"
57404,"Climber position ","21.16870880126953"
57404,"Tilter angle ","-2.8799972534179688"
57405,"Drive (left) ","0.0"
57405,"Drive (right) ","-0.0"
57405,"Range Finder ","248.77176000000003"
