Time (ms),Name,Value
38,"Climber ","true"
39,"CameraAngle","47.94871794871795"
39,"Left Drive setpoint ","0.0"
39,"Range Finder ","195.27756"
39,"Drive (left) ","0.0"
39,"Drive ","true"
39,"Tilter ","true"
39,"Tilter angle ","-0.002498626708984375"
39,"DumperJag Current","0.0"
39,"Drive (right) ","-0.0"
39,"Dumper ","true"
39,"Climber position ","0.056247711181640625"
109,"Climber position ","0.056247711181640625"
110,"Tilter angle ","-0.002498626708984375"
110,"Drive (left) ","0.0"
110,"Drive (right) ","-0.0"
111,"Range Finder ","195.10128"
111,"DumperJag Current","0.0"
210,"DumperJag Current","0.0"
210,"Climber ","true"
210,"Tilter ","true"
210,"Dumper ","true"
210,"Drive ","true"
311,"DumperJag Current","0.0"
311,"Climber position ","0.056247711181640625"
311,"Tilter angle ","-0.002498626708984375"
311,"Drive (left) ","0.0"
311,"Drive (right) ","-0.0"
311,"Range Finder ","248.85312"
415,"DumperJag Current","0.0"
415,"Climber ","true"
415,"Tilter ","true"
415,"Dumper ","true"
415,"Drive ","true"
518,"DumperJag Current","0.0"
518,"Climber position ","0.056247711181640625"
518,"Tilter angle ","-0.002498626708984375"
518,"Drive (left) ","0.0"
518,"Drive (right) ","-0.0"
518,"Range Finder ","248.85312"
619,"DumperJag Current","0.0"
619,"Climber ","true"
619,"Tilter ","true"
619,"Dumper ","true"
619,"Drive ","true"
720,"DumperJag Current","0.0"
720,"Climber position ","0.056247711181640625"
720,"Tilter angle ","-0.002498626708984375"
720,"Drive (left) ","0.0"
720,"Drive (right) ","-0.0"
720,"Range Finder ","248.90736"
821,"DumperJag Current","0.0"
822,"Climber ","true"
822,"Tilter ","true"
822,"Dumper ","true"
822,"Drive ","true"
923,"DumperJag Current","0.0"
923,"Climber position ","0.056247711181640625"
923,"Tilter angle ","-0.002498626708984375"
923,"Drive (left) ","0.0"
923,"Drive (right) ","-0.0"
923,"Range Finder ","248.85312"
1024,"DumperJag Current","0.0"
1024,"Climber ","true"
1024,"Tilter ","true"
1024,"Dumper ","true"
